business_name,website,category,city,state,score,outreach_priority,recommended_offer,mini_audit,paid_offer
Alpine Glow MedSpa,https://www.alpineglowmedspa.com/,Med Spa,Lemoyne,PA,14,Good: send personalized cold email,Homepage + Service Page Refresh,"Mini Website Audit: Alpine Glow MedSpa

What is working:
- The business has a clear service category and an existing web presence, which gives us a good base to improve from.

Opportunity 1:
- Homepage could sharpen the specific consult path.

Opportunity 2:
- Service positioning may be broad across wellness and beauty.

Opportunity 3:
- The page should make it faster for a new visitor to understand what you offer, why they should trust you, and how to book or request a consultation.

Recommended first fix:
- Start with a focused homepage + service page refresh before doing a larger redesign. This keeps the project fast, affordable, and tied to a clear business outcome.","For this, I would recommend a Homepage + Service Page Refresh.

That would include:
- Clearer homepage headline and opening section
- Stronger call-to-action so visitors know how to book or request a consultation
- Cleaner service positioning
- Mobile-first layout recommendations
- Basic SEO title and meta description cleanup

Starting price: $650
Estimated turnaround: 3-5 business days"
Alesca Aesthetics,https://alescaaesthetics.com/,Med Spa,Lancaster,PA,14,Good: send personalized cold email,Homepage + Service Page Refresh,"Mini Website Audit: Alesca Aesthetics

What is working:
- The business has a clear service category and an existing web presence, which gives us a good base to improve from.

Opportunity 1:
- Copy is descriptive but could be tightened for faster action.

Opportunity 2:
- Mobile/off-site booking instructions may create friction.

Opportunity 3:
- The page should make it faster for a new visitor to understand what you offer, why they should trust you, and how to book or request a consultation.

Recommended first fix:
- Start with a focused homepage + service page refresh before doing a larger redesign. This keeps the project fast, affordable, and tied to a clear business outcome.","For this, I would recommend a Homepage + Service Page Refresh.

That would include:
- Clearer homepage headline and opening section
- Stronger call-to-action so visitors know how to book or request a consultation
- Cleaner service positioning
- Mobile-first layout recommendations
- Basic SEO title and meta description cleanup

Starting price: $650
Estimated turnaround: 3-5 business days"
VeVe Medspa,https://www.vevemedspa.com/,Med Spa,Hershey,PA,13,Good: send personalized cold email,Homepage + Service Page Refresh,"Mini Website Audit: VeVe Medspa

What is working:
- The business has a clear service category and an existing web presence, which gives us a good base to improve from.

Opportunity 1:
- Many service options may create decision fatigue.

Opportunity 2:
- Booking ctas appear in several places and could be streamlined.

Opportunity 3:
- The page should make it faster for a new visitor to understand what you offer, why they should trust you, and how to book or request a consultation.

Recommended first fix:
- Start with a focused homepage + service page refresh before doing a larger redesign. This keeps the project fast, affordable, and tied to a clear business outcome.","For this, I would recommend a Homepage + Service Page Refresh.

That would include:
- Clearer homepage headline and opening section
- Stronger call-to-action so visitors know how to book or request a consultation
- Cleaner service positioning
- Mobile-first layout recommendations
- Basic SEO title and meta description cleanup

Starting price: $650
Estimated turnaround: 3-5 business days"
Setzer Aesthetics,https://setzeraesthetics.com/,Med Spa,Harrisburg,PA,13,Good: send personalized cold email,Homepage + Service Page Refresh,"Mini Website Audit: Setzer Aesthetics

What is working:
- The business has a clear service category and an existing web presence, which gives us a good base to improve from.

Opportunity 1:
- Headline appears repeated and generic.

Opportunity 2:
- Service categories could be organized into clearer booking paths.

Opportunity 3:
- The page should make it faster for a new visitor to understand what you offer, why they should trust you, and how to book or request a consultation.

Recommended first fix:
- Start with a focused homepage + service page refresh before doing a larger redesign. This keeps the project fast, affordable, and tied to a clear business outcome.","For this, I would recommend a Homepage + Service Page Refresh.

That would include:
- Clearer homepage headline and opening section
- Stronger call-to-action so visitors know how to book or request a consultation
- Cleaner service positioning
- Mobile-first layout recommendations
- Basic SEO title and meta description cleanup

Starting price: $650
Estimated turnaround: 3-5 business days"
G Nail Bar,https://gnailbar.com/,Nail Salon,Camp Hill,PA,13,Good: send personalized cold email,Homepage + Service Page Refresh,"Mini Website Audit: G Nail Bar

What is working:
- The business has a clear service category and an existing web presence, which gives us a good base to improve from.

Opportunity 1:
- Site appears menu-heavy and could lead with stronger value/booking flow.

Opportunity 2:
- Gallery and service menu could be packaged more premium.

Opportunity 3:
- The page should make it faster for a new visitor to understand what you offer, why they should trust you, and how to book or request a consultation.

Recommended first fix:
- Start with a focused homepage + service page refresh before doing a larger redesign. This keeps the project fast, affordable, and tied to a clear business outcome.","For this, I would recommend a Homepage + Service Page Refresh.

That would include:
- Clearer homepage headline and opening section
- Stronger call-to-action so visitors know how to book or request a consultation
- Cleaner service positioning
- Mobile-first layout recommendations
- Basic SEO title and meta description cleanup

Starting price: $650
Estimated turnaround: 3-5 business days"
Bellissima Haircuts,https://bellissimahaircuts.com/,Salon,Camp Hill,PA,13,Good: send personalized cold email,Homepage + Service Page Refresh,"Mini Website Audit: Bellissima Haircuts

What is working:
- The business has a clear service category and an existing web presence, which gives us a good base to improve from.

Opportunity 1:
- Homepage is mostly announcement pricing and contact info.

Opportunity 2:
- Brand story and booking value could be stronger.

Opportunity 3:
- The page should make it faster for a new visitor to understand what you offer, why they should trust you, and how to book or request a consultation.

Recommended first fix:
- Start with a focused homepage + service page refresh before doing a larger redesign. This keeps the project fast, affordable, and tied to a clear business outcome.","For this, I would recommend a Homepage + Service Page Refresh.

That would include:
- Clearer homepage headline and opening section
- Stronger call-to-action so visitors know how to book or request a consultation
- Cleaner service positioning
- Mobile-first layout recommendations
- Basic SEO title and meta description cleanup

Starting price: $650
Estimated turnaround: 3-5 business days"
Sarah M Lynch DMD,https://www.dentistcamphill.com/,Cosmetic Dentist,Camp Hill,PA,13,Good: send personalized cold email,Homepage + Service Page Refresh,"Mini Website Audit: Sarah M Lynch DMD

What is working:
- The business has a clear service category and an existing web presence, which gives us a good base to improve from.

Opportunity 1:
- Homepage appears sparse and service list driven.

Opportunity 2:
- Consult cta could be more trust-focused.

Opportunity 3:
- The page should make it faster for a new visitor to understand what you offer, why they should trust you, and how to book or request a consultation.

Recommended first fix:
- Start with a focused homepage + service page refresh before doing a larger redesign. This keeps the project fast, affordable, and tied to a clear business outcome.","For this, I would recommend a Homepage + Service Page Refresh.

That would include:
- Clearer homepage headline and opening section
- Stronger call-to-action so visitors know how to book or request a consultation
- Cleaner service positioning
- Mobile-first layout recommendations
- Basic SEO title and meta description cleanup

Starting price: $650
Estimated turnaround: 3-5 business days"
MIKA Interior Design,https://www.mikainteriordesign.com/,Interior Designer,Harrisburg,PA,13,Good: send personalized cold email,Homepage Refresh,"Mini Website Audit: MIKA Interior Design

What is working:
- The business has a clear service category and an existing web presence, which gives us a good base to improve from.

Opportunity 1:
- Copy has typos and could feel more premium.

Opportunity 2:
- Consultation cta could be stronger above the fold.

Opportunity 3:
- The page should make it faster for a new visitor to understand what you offer, why they should trust you, and how to submit an inquiry.

Recommended first fix:
- Start with a focused homepage refresh before doing a larger redesign. This keeps the project fast, affordable, and tied to a clear business outcome.","For this, I would recommend a Homepage Refresh.

That would include:
- Clearer homepage headline and opening section
- Stronger call-to-action so visitors know how to submit an inquiry
- Cleaner service positioning
- Mobile-first layout recommendations
- Basic SEO title and meta description cleanup

Starting price: $650
Estimated turnaround: 3-5 business days"
Vara Inc,https://varainc.com/,Interior Designer,Mechanicsburg,PA,13,Good: send personalized cold email,Homepage Refresh,"Mini Website Audit: Vara Inc

What is working:
- The business has a clear service category and an existing web presence, which gives us a good base to improve from.

Opportunity 1:
- Site appears older with many image labels and dense copy.

Opportunity 2:
- Consultation path could be clearer and more modern.

Opportunity 3:
- The page should make it faster for a new visitor to understand what you offer, why they should trust you, and how to submit an inquiry.

Recommended first fix:
- Start with a focused homepage refresh before doing a larger redesign. This keeps the project fast, affordable, and tied to a clear business outcome.","For this, I would recommend a Homepage Refresh.

That would include:
- Clearer homepage headline and opening section
- Stronger call-to-action so visitors know how to submit an inquiry
- Cleaner service positioning
- Mobile-first layout recommendations
- Basic SEO title and meta description cleanup

Starting price: $650
Estimated turnaround: 3-5 business days"
7 Layers Health Center,https://7layershc.com/,Esthetician,Lancaster,PA,13,Good: send personalized cold email,Homepage + Service Page Refresh,"Mini Website Audit: 7 Layers Health Center

What is working:
- The business has a clear service category and an existing web presence, which gives us a good base to improve from.

Opportunity 1:
- Service list is broad and could be simplified into clearer treatment paths.

Opportunity 2:
- Booking language could be more direct.

Opportunity 3:
- The page should make it faster for a new visitor to understand what you offer, why they should trust you, and how to book or request a consultation.

Recommended first fix:
- Start with a focused homepage + service page refresh before doing a larger redesign. This keeps the project fast, affordable, and tied to a clear business outcome.","For this, I would recommend a Homepage + Service Page Refresh.

That would include:
- Clearer homepage headline and opening section
- Stronger call-to-action so visitors know how to book or request a consultation
- Cleaner service positioning
- Mobile-first layout recommendations
- Basic SEO title and meta description cleanup

Starting price: $650
Estimated turnaround: 3-5 business days"
MikCollective Photography,https://www.mikcollectivephotography.com/,Wedding Photographer,Lancaster,PA,13,Good: send personalized cold email,Homepage + Inquiry Flow Refresh,"Mini Website Audit: MikCollective Photography

What is working:
- The business has a clear service category and an existing web presence, which gives us a good base to improve from.

Opportunity 1:
- Homepage could strengthen wedding inquiry path.

Opportunity 2:
- Portfolio and lifestyle services may need clearer segmentation.

Opportunity 3:
- The page should make it faster for a new visitor to understand what you offer, why they should trust you, and how to submit an inquiry.

Recommended first fix:
- Start with a focused homepage + inquiry flow refresh before doing a larger redesign. This keeps the project fast, affordable, and tied to a clear business outcome.","For this, I would recommend a Homepage + Inquiry Flow Refresh.

That would include:
- Clearer homepage headline and opening section
- Stronger call-to-action so visitors know how to submit an inquiry
- Cleaner service positioning
- Mobile-first layout recommendations
- Basic SEO title and meta description cleanup

Starting price: $650
Estimated turnaround: 3-5 business days"
